Security Code,Security Ticker,Security Name,Sector,Previous Closing Price,Open Price,High,Low,Closing Price,Volume,Value,No. of Trades,No. of Shares,Market Cap
101,NBK,NATIONAL BANK OF KUWAIT,BANKS,"1,040.00","1,040.00","1,040.00","1,032.00","1,039.00","1,888,450","1,957,021.69",417,"8,742,765,046","9,083,732,882.79"
102,GBK,GULF BANK,BANKS,372,371,372,366,368,"3,841,421","1,415,674.05",243,"3,983,019,703","1,465,751,250.70"
103,CBK,COMMERCIAL BANK OF KUWAIT,BANKS,525,533,535,521,523,"2,098,761","1,101,735.60",190,"1,973,272,520","1,032,021,527.96"
104,ABK,AL-AHLI BANK OF KUWAIT,BANKS,282,283,284,282,283,"1,431,591","404,730.23",76,"2,600,838,334","736,037,248.52"
106,KIB,KUWAIT INTERNATIONAL BANK,BANKS,282,282,283,280,281,"8,239,418","2,317,503.78",302,"1,656,365,861","465,438,806.94"
107,BURG,BURGAN BANK,BANKS,223,224,224,221,222,"3,638,313","806,237.99",123,"3,778,694,646","838,870,211.41"
108,KFH,KUWAIT FINANCE HOUSE,BANKS,820,820,821,817,820,"6,913,099","5,663,100.63",940,"17,943,902,779","14,714,000,278.78"
109,BOUBYAN,BOUBYAN BANK,BANKS,720,720,735,718,734,"4,952,172","3,605,545.83",481,"4,410,173,180","3,237,067,114.12"
201,KINV,KUWAIT INVESTMENT COMPANY,FINANCIAL SERVICES,244,244,248,244,247,"2,405,781","590,909.05",28,"550,750,000","136,035,250.00"
202,FACIL,COMMERCIAL FACILITIES COMPANY,FINANCIAL SERVICES,275,276,277,273,277,"6,594","1,812.67",6,"506,471,862","140,292,705.77"
203,IFA,INTERNATIONAL FINANCIAL ADVISERS HOLDING,FINANCIAL SERVICES,468,470,475,466,469,"2,362,113","1,107,514.62",200,"516,822,001","242,389,518.47"
204,NINV,NATIONAL INVESTMENTS COMPANY,FINANCIAL SERVICES,299,299,314,298,311,"2,642,731","809,789.75",164,"797,021,540","247,873,698.94"
205,KPROJ,KUWAIT PROJECTS COMPANY (HOLDING),FINANCIAL SERVICES,85.6,86.2,86.2,85,85.3,"3,474,241","296,316.91",135,"4,552,959,475","388,367,443.22"
207,COAST,COAST INVESTMENT & DEVELOPMENT COMPANY,FINANCIAL SERVICES,68.8,68.5,68.7,68.1,68.3,"497,832","34,019.22",19,"465,026,902","31,761,337.41"
209,SECH,THE SECURITIES HOUSE CO.,FINANCIAL SERVICES,83.1,83,83.1,82,83,"358,950","29,705.30",27,"390,643,461","32,423,407.26"
